,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
509,Acessorios,Homens 18-24,Video 1,19728,813,223.13,4.12,0.27,689,0.32,79368.74,355.71,2025-04-14,Segunda-feira,Homens,18-24
510,Camisetas Series,Homens 18-24,Carrossel 1,8313,578,1473.05,6.95,2.55,410,3.59,13075.98,8.88,2025-04-13,Domingo,Homens,18-24
511,Acessorios,Mulheres 24-30,Carrossel 2,10250,842,1275.03,8.21,1.51,335,3.81,11268.92,8.84,2025-04-12,Sábado,Mulheres,24-30
512,Acessorios,Mulheres 18-24,Carrossel 2,1261,97,340.97,7.69,3.52,72,4.74,7448.45,21.84,2025-04-23,Quarta-feira,Mulheres,18-24
513,Blusas Inverno,Homens 24-30,Imagem 2,16201,804,907.95,4.96,1.13,505,1.8,63013.25,69.4,2025-04-25,Sexta-feira,Homens,24-30
514,Camisetas Filmes,Homens 24-30,Imagem 2,18909,1607,1204.16,8.5,0.75,308,3.91,7896.44,6.56,2025-04-05,Sábado,Homens,24-30
515,Camisetas Filmes,Mulheres 18-24,Video 3,1783,109,835.24,6.11,7.66,81,10.31,8825.55,10.57,2025-04-14,Segunda-feira,Mulheres,18-24
516,Camisetas Filmes,Homens 18-24,Imagem 1,11977,52,1150.45,0.43,22.12,24,47.94,2637.61,2.29,2025-04-21,Segunda-feira,Homens,18-24
517,Camisetas Filmes,Mulheres 18-24,Video 2,4406,155,818.23,3.52,5.28,60,13.64,4018.9,4.91,2025-04-25,Sexta-feira,Mulheres,18-24
518,Camisetas Filmes,Homens 24-30,Imagem 1,5665,336,184.89,5.93,0.55,118,1.57,13537.99,73.22,2025-04-07,Segunda-feira,Homens,24-30
519,Camisetas Filmes,Homens 18-24,Video 3,13205,988,1463.1,7.48,1.48,86,17.01,7144.63,4.88,2025-04-07,Segunda-feira,Homens,18-24
520,Camisetas Series,Homens 24-30,Carrossel 1,13922,203,908.25,1.46,4.47,15,60.55,1027.47,1.13,2025-04-20,Domingo,Homens,24-30
521,Camisetas Filmes,Mulheres 18-24,Carrossel 1,8758,348,428.44,3.97,1.23,161,2.66,18934.28,44.19,2025-04-18,Sexta-feira,Mulheres,18-24
522,Blusas Inverno,Mulheres 18-24,Video 3,11690,701,706.5,6.0,1.01,239,2.96,7760.03,10.98,2025-04-28,Segunda-feira,Mulheres,18-24
523,Camisetas Filmes,Homens 18-24,Imagem 2,5460,449,1166.71,8.22,2.6,55,21.21,2229.76,1.91,2025-04-04,Sexta-feira,Homens,18-24
524,Blusas Inverno,Homens 18-24,Carrossel 1,15731,1004,505.35,6.38,0.5,123,4.11,9666.87,19.13,2025-03-31,Segunda-feira,Homens,18-24
525,Blusas Inverno,Mulheres 18-24,Imagem 2,15808,681,721.85,4.31,1.06,122,5.92,4153.13,5.75,2025-04-25,Sexta-feira,Mulheres,18-24
526,Acessorios,Homens 24-30,Video 2,2321,105,1262.09,4.52,12.02,41,30.78,1633.13,1.29,2025-04-14,Segunda-feira,Homens,24-30
527,Acessorios,Homens 18-24,Imagem 2,12656,861,794.52,6.8,0.92,693,1.15,38034.66,47.87,2025-04-17,Quinta-feira,Homens,18-24
528,Blusas Inverno,Mulheres 18-24,Carrossel 1,2018,153,1289.17,7.58,8.43,142,9.08,14172.71,10.99,2025-04-23,Quarta-feira,Mulheres,18-24
529,Camisetas Series,Mulheres 18-24,Imagem 2,4103,286,197.77,6.97,0.69,71,2.79,2637.32,13.34,2025-04-03,Quinta-feira,Mulheres,18-24
530,Blusas Inverno,Mulheres 24-30,Imagem 1,8283,183,337.29,2.21,1.84,102,3.31,6346.85,18.82,2025-04-13,Domingo,Mulheres,24-30
531,Blusas Inverno,Mulheres 18-24,Video 1,9481,882,158.73,9.3,0.18,66,2.4,2955.15,18.62,2025-04-02,Quarta-feira,Mulheres,18-24
532,Camisetas Series,Homens 24-30,Carrossel 2,5220,97,1362.36,1.86,14.04,42,32.44,1564.62,1.15,2025-04-15,Terça-feira,Homens,24-30
533,Camisetas Filmes,Homens 18-24,Carrossel 2,2659,93,1389.99,3.5,14.95,55,25.27,5894.27,4.24,2025-04-20,Domingo,Homens,18-24
534,Camisetas Filmes,Homens 18-24,Video 3,17257,110,604.96,0.64,5.5,54,11.2,2283.16,3.77,2025-04-25,Sexta-feira,Homens,18-24
535,Camisetas Filmes,Homens 18-24,Imagem 2,7132,331,455.79,4.64,1.38,76,6.0,2163.34,4.75,2025-04-10,Quinta-feira,Homens,18-24
536,Camisetas Filmes,Homens 18-24,Imagem 2,10670,560,647.39,5.25,1.16,490,1.32,15237.97,23.54,2025-04-14,Segunda-feira,Homens,18-24
537,Acessorios,Mulheres 18-24,Video 2,13550,331,657.89,2.44,1.99,329,2.0,37330.07,56.74,2025-04-12,Sábado,Mulheres,18-24
538,Camisetas Filmes,Mulheres 18-24,Imagem 2,18814,1677,78.32,8.91,0.05,783,0.1,80799.0,1031.65,2025-04-09,Quarta-feira,Mulheres,18-24
539,Camisetas Filmes,Mulheres 24-30,Imagem 3,16718,1165,1183.08,6.97,1.02,704,1.68,81852.46,69.19,2025-04-16,Quarta-feira,Mulheres,24-30
540,Blusas Inverno,Homens 18-24,Imagem 3,13726,603,310.73,4.39,0.52,326,0.95,27615.99,88.87,2025-04-05,Sábado,Homens,18-24
541,Camisetas Series,Mulheres 24-30,Imagem 1,10205,109,1222.55,1.07,11.22,60,20.38,4676.59,3.83,2025-04-10,Quinta-feira,Mulheres,24-30
542,Acessorios,Mulheres 18-24,Imagem 2,6230,152,409.39,2.44,2.69,61,6.71,3150.81,7.7,2025-04-23,Quarta-feira,Mulheres,18-24
543,Camisetas Series,Homens 18-24,Imagem 1,8189,639,1277.43,7.8,2.0,397,3.22,24010.74,18.8,2025-04-02,Quarta-feira,Homens,18-24
544,Acessorios,Homens 18-24,Carrossel 1,6770,292,909.15,4.31,3.11,183,4.97,21300.83,23.43,2025-04-22,Terça-feira,Homens,18-24
545,Acessorios,Mulheres 18-24,Imagem 1,12523,1212,867.23,9.68,0.72,1153,0.75,138171.89,159.33,2025-04-25,Sexta-feira,Mulheres,18-24
546,Camisetas Series,Mulheres 18-24,Carrossel 2,18764,682,304.56,3.63,0.45,38,8.01,1292.98,4.25,2025-04-05,Sábado,Mulheres,18-24
547,Camisetas Filmes,Homens 18-24,Imagem 2,8169,70,813.35,0.86,11.62,0,0.0,0.0,0.0,2025-04-21,Segunda-feira,Homens,18-24
548,Camisetas Filmes,Homens 18-24,Imagem 2,5275,224,1089.56,4.25,4.86,205,5.31,22432.82,20.59,2025-04-27,Domingo,Homens,18-24
549,Blusas Inverno,Homens 18-24,Imagem 3,2951,55,264.18,1.86,4.8,45,5.87,5252.51,19.88,2025-04-21,Segunda-feira,Homens,18-24
550,Camisetas Filmes,Mulheres 24-30,Video 1,18245,1812,579.09,9.93,0.32,148,3.91,9229.14,15.94,2025-04-15,Terça-feira,Mulheres,24-30
551,Blusas Inverno,Mulheres 24-30,Video 3,4310,222,487.56,5.15,2.2,34,14.34,4167.93,8.55,2025-04-15,Terça-feira,Mulheres,24-30
552,Acessorios,Homens 18-24,Video 3,16964,1379,510.06,8.13,0.37,1150,0.44,108509.45,212.74,2025-03-30,Domingo,Homens,18-24
553,Camisetas Filmes,Homens 24-30,Imagem 3,8315,731,903.98,8.79,1.24,179,5.05,11248.08,12.44,2025-04-11,Sexta-feira,Homens,24-30
554,Camisetas Series,Homens 18-24,Video 2,5172,140,1106.8,2.71,7.91,100,11.07,11007.57,9.95,2025-04-24,Quinta-feira,Homens,18-24
555,Blusas Inverno,Homens 18-24,Imagem 1,6966,666,511.41,9.56,0.77,626,0.82,29478.04,57.64,2025-04-01,Terça-feira,Homens,18-24
556,Camisetas Filmes,Mulheres 18-24,Video 1,17258,338,530.19,1.96,1.57,39,13.59,1903.18,3.59,2025-04-05,Sábado,Mulheres,18-24
557,Camisetas Series,Mulheres 18-24,Imagem 3,6501,140,1241.41,2.15,8.87,85,14.6,5921.35,4.77,2025-04-12,Sábado,Mulheres,18-24
558,Camisetas Filmes,Mulheres 24-30,Video 2,7870,305,1055.11,3.88,3.46,179,5.89,9069.18,8.6,2025-04-25,Sexta-feira,Mulheres,24-30
559,Camisetas Filmes,Homens 18-24,Video 1,1041,53,609.61,5.09,11.5,46,13.25,3080.4,5.05,2025-04-14,Segunda-feira,Homens,18-24
560,Blusas Inverno,Mulheres 24-30,Carrossel 1,14566,1059,1328.57,7.27,1.25,719,1.85,57234.12,43.08,2025-04-10,Quinta-feira,Mulheres,24-30
561,Blusas Inverno,Homens 24-30,Video 1,16711,1665,1302.87,9.96,0.78,1333,0.98,134398.86,103.16,2025-04-14,Segunda-feira,Homens,24-30
562,Camisetas Series,Mulheres 18-24,Imagem 2,6329,512,156.88,8.09,0.31,34,4.61,1852.69,11.81,2025-04-10,Quinta-feira,Mulheres,18-24
563,Camisetas Filmes,Mulheres 18-24,Imagem 3,9556,157,157.59,1.64,1.0,43,3.66,4893.1,31.05,2025-03-31,Segunda-feira,Mulheres,18-24
564,Camisetas Filmes,Homens 18-24,Carrossel 1,3457,330,1415.66,9.55,4.29,47,30.12,2763.37,1.95,2025-04-26,Sábado,Homens,18-24
565,Blusas Inverno,Mulheres 18-24,Carrossel 2,2015,160,1416.54,7.94,8.85,42,33.73,3600.73,2.54,2025-04-01,Terça-feira,Mulheres,18-24
566,Camisetas Filmes,Homens 18-24,Video 3,6147,104,196.82,1.69,1.89,26,7.57,3183.44,16.17,2025-04-04,Sexta-feira,Homens,18-24
567,Camisetas Series,Homens 18-24,Video 3,19157,1528,1392.08,7.98,0.91,1106,1.26,56988.28,40.94,2025-04-15,Terça-feira,Homens,18-24
568,Blusas Inverno,Mulheres 18-24,Video 2,10745,536,189.08,4.99,0.35,402,0.47,33035.15,174.72,2025-04-07,Segunda-feira,Mulheres,18-24
569,Camisetas Series,Mulheres 18-24,Carrossel 2,6032,105,573.2,1.74,5.46,54,10.61,1823.19,3.18,2025-04-24,Quinta-feira,Mulheres,18-24
570,Blusas Inverno,Homens 18-24,Carrossel 2,7542,149,87.32,1.98,0.59,43,2.03,3819.22,43.74,2025-04-24,Quinta-feira,Homens,18-24
571,Camisetas Series,Mulheres 18-24,Video 1,16517,286,497.11,1.73,1.74,203,2.45,14635.17,29.44,2025-04-16,Quarta-feira,Mulheres,18-24
572,Camisetas Filmes,Mulheres 24-30,Video 2,3986,378,838.98,9.48,2.22,94,8.93,5837.59,6.96,2025-04-06,Domingo,Mulheres,24-30
573,Blusas Inverno,Mulheres 18-24,Video 3,13104,432,696.37,3.3,1.61,134,5.2,9242.52,13.27,2025-04-16,Quarta-feira,Mulheres,18-24
574,Blusas Inverno,Mulheres 24-30,Video 2,8413,325,868.16,3.86,2.67,77,11.27,7717.21,8.89,2025-04-13,Domingo,Mulheres,24-30
575,Blusas Inverno,Homens 24-30,Video 1,3808,226,1221.86,5.93,5.41,105,11.64,12817.41,10.49,2025-04-22,Terça-feira,Homens,24-30
576,Camisetas Series,Mulheres 18-24,Imagem 2,19140,174,1269.16,0.91,7.29,133,9.54,8892.81,7.01,2025-04-11,Sexta-feira,Mulheres,18-24
577,Camisetas Series,Homens 24-30,Carrossel 2,19766,1855,391.68,9.38,0.21,612,0.64,20132.05,51.4,2025-04-26,Sábado,Homens,24-30
578,Camisetas Filmes,Mulheres 24-30,Imagem 1,17452,1219,1355.66,6.98,1.11,1170,1.16,108521.58,80.05,2025-04-15,Terça-feira,Mulheres,24-30
579,Blusas Inverno,Homens 18-24,Carrossel 1,4941,437,701.11,8.84,1.6,85,8.25,10388.4,14.82,2025-04-21,Segunda-feira,Homens,18-24
580,Blusas Inverno,Homens 18-24,Imagem 2,5134,71,663.89,1.38,9.35,55,12.07,2485.56,3.74,2025-04-02,Quarta-feira,Homens,18-24
581,Camisetas Filmes,Homens 24-30,Carrossel 1,9450,377,1370.67,3.99,3.64,34,40.31,1145.89,0.84,2025-04-03,Quinta-feira,Homens,24-30
582,Camisetas Filmes,Homens 24-30,Video 3,19089,717,1292.11,3.76,1.8,532,2.43,37673.96,29.16,2025-04-15,Terça-feira,Homens,24-30
583,Blusas Inverno,Mulheres 18-24,Imagem 1,18123,1650,658.41,9.1,0.4,848,0.78,33889.67,51.47,2025-04-28,Segunda-feira,Mulheres,18-24
584,Camisetas Filmes,Homens 18-24,Video 1,4461,338,1180.34,7.58,3.49,146,8.08,16315.14,13.82,2025-04-07,Segunda-feira,Homens,18-24
585,Camisetas Series,Mulheres 24-30,Imagem 3,14464,590,605.41,4.08,1.03,497,1.22,40854.56,67.48,2025-03-30,Domingo,Mulheres,24-30
586,Camisetas Series,Homens 18-24,Carrossel 2,2227,94,449.35,4.22,4.78,18,24.96,1562.84,3.48,2025-04-24,Quinta-feira,Homens,18-24
587,Camisetas Series,Mulheres 18-24,Video 3,2270,151,1339.88,6.65,8.87,84,15.95,7900.32,5.9,2025-04-01,Terça-feira,Mulheres,18-24
588,Blusas Inverno,Homens 18-24,Imagem 1,16571,600,1350.7,3.62,2.25,20,67.53,1175.73,0.87,2025-04-13,Domingo,Homens,18-24
589,Blusas Inverno,Mulheres 18-24,Video 2,11189,624,1272.13,5.58,2.04,100,12.72,12224.97,9.61,2025-04-28,Segunda-feira,Mulheres,18-24
590,Acessorios,Homens 18-24,Imagem 2,5403,203,1462.62,3.76,7.21,113,12.94,11571.55,7.91,2025-03-30,Domingo,Homens,18-24
591,Camisetas Series,Mulheres 24-30,Imagem 3,9828,796,654.32,8.1,0.82,661,0.99,22426.86,34.28,2025-04-26,Sábado,Mulheres,24-30
592,Camisetas Filmes,Mulheres 24-30,Carrossel 2,7926,466,1124.37,5.88,2.41,388,2.9,29740.26,26.45,2025-04-27,Domingo,Mulheres,24-30
593,Camisetas Series,Homens 18-24,Imagem 3,2841,181,1197.66,6.37,6.62,16,74.85,897.8,0.75,2025-04-18,Sexta-feira,Homens,18-24
594,Camisetas Filmes,Homens 24-30,Video 3,5444,449,1284.38,8.25,2.86,291,4.41,8117.39,6.32,2025-04-15,Terça-feira,Homens,24-30
595,Camisetas Filmes,Mulheres 18-24,Imagem 2,7577,109,411.76,1.44,3.78,58,7.1,1743.24,4.23,2025-04-10,Quinta-feira,Mulheres,18-24
596,Camisetas Filmes,Mulheres 18-24,Imagem 3,7524,330,584.11,4.39,1.77,237,2.46,17896.5,30.64,2025-04-05,Sábado,Mulheres,18-24
597,Camisetas Filmes,Mulheres 24-30,Video 1,2001,111,590.08,5.55,5.32,76,7.76,5290.39,8.97,2025-04-28,Segunda-feira,Mulheres,24-30
598,Acessorios,Mulheres 24-30,Carrossel 2,19066,766,549.16,4.02,0.72,264,2.08,26372.57,48.02,2025-04-04,Sexta-feira,Mulheres,24-30
599,Blusas Inverno,Homens 18-24,Video 1,10341,78,610.52,0.75,7.83,20,30.53,2207.64,3.62,2025-04-20,Domingo,Homens,18-24
600,Blusas Inverno,Homens 18-24,Imagem 2,8253,712,376.41,8.63,0.53,211,1.78,10952.66,29.1,2025-03-31,Segunda-feira,Homens,18-24
601,Camisetas Filmes,Homens 18-24,Video 3,17819,91,1303.71,0.51,14.33,87,14.99,2252.41,1.73,2025-04-03,Quinta-feira,Homens,18-24
602,Camisetas Series,Homens 24-30,Carrossel 1,6675,665,1211.25,9.96,1.82,229,5.29,11504.74,9.5,2025-04-15,Terça-feira,Homens,24-30
603,Camisetas Series,Mulheres 18-24,Video 2,10023,483,1348.45,4.82,2.79,436,3.09,26103.72,19.36,2025-04-25,Sexta-feira,Mulheres,18-24
604,Camisetas Filmes,Mulheres 24-30,Video 2,8150,527,488.11,6.47,0.93,406,1.2,33880.18,69.41,2025-04-20,Domingo,Mulheres,24-30
605,Camisetas Series,Mulheres 18-24,Imagem 1,17761,1406,1451.4,7.92,1.03,766,1.89,62157.62,42.83,2025-04-10,Quinta-feira,Mulheres,18-24
606,Camisetas Filmes,Homens 24-30,Video 2,10780,271,748.52,2.51,2.76,172,4.35,21299.81,28.46,2025-04-26,Sábado,Homens,24-30
607,Camisetas Series,Homens 18-24,Imagem 3,10072,317,1001.37,3.15,3.16,152,6.59,6663.07,6.65,2025-04-12,Sábado,Homens,18-24
608,Camisetas Filmes,Mulheres 18-24,Imagem 2,2860,256,1293.11,8.95,5.05,206,6.28,18756.92,14.51,2025-04-20,Domingo,Mulheres,18-24
609,Camisetas Series,Homens 18-24,Carrossel 1,1834,177,1496.33,9.65,8.45,66,22.67,7635.62,5.1,2025-03-30,Domingo,Homens,18-24
610,Acessorios,Homens 18-24,Video 3,13722,122,895.38,0.89,7.34,73,12.27,7781.91,8.69,2025-04-13,Domingo,Homens,18-24
611,Camisetas Series,Mulheres 24-30,Imagem 3,8286,752,825.22,9.08,1.1,487,1.69,56322.84,68.25,2025-04-10,Quinta-feira,Mulheres,24-30
612,Camisetas Series,Mulheres 18-24,Imagem 3,17623,664,1275.86,3.77,1.92,571,2.23,24617.86,19.3,2025-03-31,Segunda-feira,Mulheres,18-24
613,Camisetas Filmes,Homens 18-24,Video 1,16426,312,1124.33,1.9,3.6,286,3.93,28969.46,25.77,2025-04-14,Segunda-feira,Homens,18-24
614,Acessorios,Mulheres 18-24,Carrossel 1,11998,232,372.27,1.93,1.6,57,6.53,5667.0,15.22,2025-04-20,Domingo,Mulheres,18-24
615,Blusas Inverno,Homens 18-24,Video 2,14778,728,588.94,4.93,0.81,599,0.98,32588.66,55.33,2025-04-02,Quarta-feira,Homens,18-24
616,Camisetas Filmes,Homens 18-24,Video 1,16418,159,1306.27,0.97,8.22,149,8.77,12371.67,9.47,2025-04-24,Quinta-feira,Homens,18-24
617,Camisetas Series,Homens 18-24,Video 1,16473,448,775.69,2.72,1.73,444,1.75,41322.98,53.27,2025-04-10,Quinta-feira,Homens,18-24
618,Blusas Inverno,Mulheres 18-24,Video 2,14536,160,1312.73,1.1,8.2,38,34.55,1471.99,1.12,2025-04-19,Sábado,Mulheres,18-24
619,Acessorios,Homens 18-24,Imagem 2,12228,888,1481.43,7.26,1.67,468,3.17,18402.89,12.42,2025-04-25,Sexta-feira,Homens,18-24
620,Blusas Inverno,Homens 24-30,Carrossel 1,3648,299,532.31,8.2,1.78,90,5.91,5070.73,9.53,2025-04-17,Quinta-feira,Homens,24-30
621,Blusas Inverno,Homens 24-30,Imagem 1,1154,107,446.62,9.27,4.17,97,4.6,9928.36,22.23,2025-04-21,Segunda-feira,Homens,24-30
622,Blusas Inverno,Mulheres 18-24,Carrossel 1,17042,1658,1157.18,9.73,0.7,180,6.43,6829.31,5.9,2025-04-04,Sexta-feira,Mulheres,18-24
623,Camisetas Filmes,Homens 18-24,Video 3,15070,876,672.09,5.81,0.77,488,1.38,30905.84,45.98,2025-04-26,Sábado,Homens,18-24
624,Acessorios,Mulheres 18-24,Imagem 1,18490,458,1109.46,2.48,2.42,7,158.49,799.4,0.72,2025-04-22,Terça-feira,Mulheres,18-24
625,Blusas Inverno,Mulheres 18-24,Imagem 2,1587,136,55.98,8.57,0.41,63,0.89,3000.47,53.6,2025-04-05,Sábado,Mulheres,18-24
626,Camisetas Filmes,Homens 18-24,Imagem 3,11226,314,198.93,2.8,0.63,257,0.77,21553.84,108.35,2025-03-30,Domingo,Homens,18-24
627,Camisetas Series,Mulheres 18-24,Carrossel 1,3139,73,482.39,2.33,6.61,37,13.04,2611.93,5.41,2025-04-19,Sábado,Mulheres,18-24
628,Camisetas Filmes,Mulheres 18-24,Imagem 3,15210,1456,1493.43,9.57,1.03,701,2.13,87354.34,58.49,2025-04-28,Segunda-feira,Mulheres,18-24
629,Camisetas Filmes,Mulheres 18-24,Carrossel 2,12771,435,289.08,3.41,0.66,415,0.7,27115.75,93.8,2025-04-27,Domingo,Mulheres,18-24
630,Camisetas Filmes,Homens 24-30,Imagem 2,8350,794,1478.08,9.51,1.86,216,6.84,21256.05,14.38,2025-04-09,Quarta-feira,Homens,24-30
631,Camisetas Filmes,Mulheres 18-24,Carrossel 1,5035,237,1081.11,4.71,4.56,202,5.35,5804.74,5.37,2025-04-03,Quinta-feira,Mulheres,18-24
632,Camisetas Filmes,Homens 18-24,Video 2,18522,1326,120.45,7.16,0.09,98,1.23,8937.31,74.2,2025-04-18,Sexta-feira,Homens,18-24
633,Camisetas Filmes,Mulheres 18-24,Imagem 1,2580,226,217.9,8.76,0.96,113,1.93,7121.87,32.68,2025-04-06,Domingo,Mulheres,18-24
634,Camisetas Series,Homens 18-24,Video 2,16545,1487,272.03,8.99,0.18,1423,0.19,133155.81,489.49,2025-04-25,Sexta-feira,Homens,18-24
635,Camisetas Series,Mulheres 24-30,Imagem 1,10866,911,1009.41,8.38,1.11,678,1.49,52226.97,51.74,2025-04-15,Terça-feira,Mulheres,24-30
636,Blusas Inverno,Homens 18-24,Carrossel 1,14724,264,791.8,1.79,3.0,60,13.2,3196.24,4.04,2025-04-09,Quarta-feira,Homens,18-24
637,Camisetas Series,Homens 18-24,Video 1,17309,456,933.05,2.63,2.05,398,2.34,20417.16,21.88,2025-04-10,Quinta-feira,Homens,18-24
638,Camisetas Filmes,Mulheres 24-30,Imagem 2,12728,889,478.26,6.98,0.54,40,11.96,3192.56,6.68,2025-04-04,Sexta-feira,Mulheres,24-30
639,Camisetas Filmes,Mulheres 18-24,Imagem 2,16750,727,390.03,4.34,0.54,13,30.0,1198.12,3.07,2025-04-21,Segunda-feira,Mulheres,18-24
640,Camisetas Series,Homens 24-30,Video 1,19813,1420,766.45,7.17,0.54,184,4.17,18943.28,24.72,2025-03-31,Segunda-feira,Homens,24-30
641,Camisetas Series,Homens 18-24,Video 1,4319,181,984.29,4.19,5.44,116,8.49,14368.52,14.6,2025-04-03,Quinta-feira,Homens,18-24
642,Camisetas Filmes,Mulheres 18-24,Video 2,9654,525,122.62,5.44,0.23,178,0.69,20009.7,163.18,2025-03-31,Segunda-feira,Mulheres,18-24
643,Camisetas Filmes,Homens 18-24,Video 2,12803,690,667.69,5.39,0.97,118,5.66,4070.98,6.1,2025-04-12,Sábado,Homens,18-24
644,Camisetas Filmes,Homens 18-24,Imagem 1,1316,67,1011.86,5.09,15.1,21,48.18,1215.19,1.2,2025-04-04,Sexta-feira,Homens,18-24
645,Camisetas Filmes,Homens 18-24,Carrossel 2,9791,949,1112.95,9.69,1.17,381,2.92,40575.14,36.46,2025-04-15,Terça-feira,Homens,18-24
646,Camisetas Series,Mulheres 18-24,Carrossel 1,4730,255,630.36,5.39,2.47,233,2.71,12158.71,19.29,2025-04-11,Sexta-feira,Mulheres,18-24
647,Blusas Inverno,Homens 18-24,Video 3,16671,913,990.83,5.48,1.09,816,1.21,34009.14,34.32,2025-04-09,Quarta-feira,Homens,18-24
648,Camisetas Filmes,Homens 18-24,Carrossel 1,2921,291,1274.31,9.96,4.38,53,24.04,3529.95,2.77,2025-04-07,Segunda-feira,Homens,18-24
649,Camisetas Series,Homens 24-30,Carrossel 2,19643,1439,685.34,7.33,0.48,1251,0.55,78781.82,114.95,2025-04-25,Sexta-feira,Homens,24-30
650,Camisetas Filmes,Mulheres 24-30,Imagem 3,1944,83,750.47,4.27,9.04,62,12.1,2250.21,3.0,2025-04-02,Quarta-feira,Mulheres,24-30
651,Camisetas Filmes,Mulheres 18-24,Video 3,15440,144,141.84,0.93,0.98,80,1.77,2098.88,14.8,2025-04-25,Sexta-feira,Mulheres,18-24
652,Blusas Inverno,Mulheres 24-30,Imagem 2,12085,1113,808.5,9.21,0.73,195,4.15,13315.53,16.47,2025-04-07,Segunda-feira,Mulheres,24-30
653,Blusas Inverno,Homens 24-30,Imagem 2,16791,758,1012.38,4.51,1.34,656,1.54,41647.91,41.14,2025-04-02,Quarta-feira,Homens,24-30
654,Camisetas Filmes,Homens 24-30,Imagem 1,1381,132,1404.84,9.56,10.64,129,10.89,14175.11,10.09,2025-04-16,Quarta-feira,Homens,24-30
655,Camisetas Filmes,Mulheres 24-30,Carrossel 2,6419,126,1139.57,1.96,9.04,41,27.79,2012.66,1.77,2025-04-19,Sábado,Mulheres,24-30
656,Camisetas Series,Homens 24-30,Video 2,2649,179,372.92,6.76,2.08,164,2.27,10309.66,27.65,2025-04-21,Segunda-feira,Homens,24-30
657,Camisetas Series,Mulheres 18-24,Imagem 2,3583,285,694.07,7.95,2.44,229,3.03,7740.65,11.15,2025-03-31,Segunda-feira,Mulheres,18-24
658,Camisetas Series,Homens 24-30,Carrossel 2,15649,697,222.12,4.45,0.32,509,0.44,50657.66,228.06,2025-04-20,Domingo,Homens,24-30
659,Camisetas Filmes,Homens 18-24,Imagem 1,4363,256,647.89,5.87,2.53,0,0.0,0.0,0.0,2025-04-02,Quarta-feira,Homens,18-24
660,Camisetas Filmes,Homens 18-24,Video 2,17657,1201,349.93,6.8,0.29,934,0.37,112113.17,320.39,2025-04-27,Domingo,Homens,18-24
661,Blusas Inverno,Homens 18-24,Imagem 3,2778,259,373.23,9.32,1.44,232,1.61,13501.76,36.18,2025-04-05,Sábado,Homens,18-24
662,Acessorios,Homens 18-24,Carrossel 2,12904,976,215.33,7.56,0.22,777,0.28,70622.33,327.97,2025-04-09,Quarta-feira,Homens,18-24
663,Camisetas Filmes,Homens 24-30,Imagem 1,12185,777,1253.33,6.38,1.61,298,4.21,23771.18,18.97,2025-04-17,Quinta-feira,Homens,24-30
664,Camisetas Series,Mulheres 18-24,Imagem 3,4483,73,1350.47,1.63,18.5,63,21.44,2459.83,1.82,2025-04-11,Sexta-feira,Mulheres,18-24
665,Camisetas Series,Homens 24-30,Video 3,4504,180,935.74,4.0,5.2,48,19.49,1779.58,1.9,2025-04-28,Segunda-feira,Homens,24-30
666,Camisetas Filmes,Mulheres 24-30,Video 3,8064,518,1245.6,6.42,2.4,195,6.39,18852.36,15.14,2025-04-08,Terça-feira,Mulheres,24-30
667,Acessorios,Mulheres 18-24,Video 1,14581,145,1393.61,0.99,9.61,31,44.96,3168.65,2.27,2025-04-19,Sábado,Mulheres,18-24
668,Camisetas Filmes,Mulheres 18-24,Carrossel 2,15987,1398,904.51,8.74,0.65,1032,0.88,39694.44,43.89,2025-04-13,Domingo,Mulheres,18-24
669,Camisetas Filmes,Homens 18-24,Carrossel 2,1142,56,852.18,4.9,15.22,27,31.56,2939.8,3.45,2025-04-08,Terça-feira,Homens,18-24
670,Camisetas Filmes,Mulheres 18-24,Carrossel 2,17657,1649,1385.69,9.34,0.84,362,3.83,34093.8,24.6,2025-04-18,Sexta-feira,Mulheres,18-24
671,Blusas Inverno,Homens 24-30,Carrossel 1,5206,103,611.74,1.98,5.94,76,8.05,6506.82,10.64,2025-04-09,Quarta-feira,Homens,24-30
672,Blusas Inverno,Mulheres 18-24,Imagem 3,17518,837,657.06,4.78,0.79,623,1.05,72636.21,110.55,2025-04-28,Segunda-feira,Mulheres,18-24
673,Camisetas Filmes,Homens 18-24,Imagem 2,9965,457,1447.21,4.59,3.17,150,9.65,10542.69,7.28,2025-04-07,Segunda-feira,Homens,18-24
674,Acessorios,Homens 18-24,Carrossel 1,5527,261,923.66,4.72,3.54,153,6.04,16724.04,18.11,2025-04-15,Terça-feira,Homens,18-24
675,Blusas Inverno,Mulheres 18-24,Imagem 3,19139,1345,365.15,7.03,0.27,429,0.85,37501.79,102.7,2025-04-07,Segunda-feira,Mulheres,18-24
676,Camisetas Series,Homens 24-30,Video 2,12314,321,1472.94,2.61,4.59,91,16.19,6860.43,4.66,2025-04-21,Segunda-feira,Homens,24-30
677,Camisetas Series,Mulheres 24-30,Imagem 3,4781,439,560.74,9.18,1.28,245,2.29,20403.75,36.39,2025-04-18,Sexta-feira,Mulheres,24-30
